seed=20260815  test_frac=0.2
entries: 964  train: 808  test: 156 (16.2%)
theory files: train 5729  test 1128
bytes: train 192.4 MB  test 34.7 MB

stratum                             train   test   test%
Padic_Ints                              1      0      0%
Path_Automation                         1      0      0%
Perfect_Fields                          1      0      0%
Pi_Transcendental                       1      0      0%
Pluennecke_Ruzsa_Inequality             1      0      0%
Poincare_Bendixson                      1      0      0%
Poincare_Disc                           1      0      0%
Polynomials                             1      0      0%
Priority_Search_Trees                   1      0      0%
Probabilistic_While                     1      0      0%
Probability_Inequality_Completene       1      0      0%
Projective_Measurements                 1      0      0%
Propositional_Proof_Systems             1      0      0%
Pure                                    1      0      0%
QHLProver                               1      0      0%
Quantales                               1      0      0%
Quantales_Converse                      1      0      0%
Quick_Sort_Cost                         1      0      0%
Random_BSTs                             1      0      0%
Randomised_Social_Choice                1      0      0%
Rank_Nullity_Theorem                    1      0      0%
Refine_Monadic                          1      0      0%
Relational_Disjoint_Set_Forests         1      0      0%
Relative_Security                       1      0      0%
ResiduatedTransitionSystem              1      0      0%
Routing                                 1      0      0%
S_Finite_Measure_Monad                  1      0      0%
Shadow_DOM                              1      0      0%
Shadow_SC_DOM                           1      0      0%
Sigmoid_Universal_Approximation         1      0      0%
Simple_Clause_Learning                  1      0      0%
Simple_Firewall                         1      0      0%
Simplex                                 1      0      0%
Slicing                                 1      0      0%
Smith_Normal_Form                       1      0      0%
Smooth_Manifolds                        1      0      0%
Sqrt_Babylonian                         1      0      0%
Standard_Borel_Spaces                   1      0      0%
Stateful_Protocol_Composition_and       1      0      0%
Sturm_Sequences                         1      0      0%
Subresultants                           1      0      0%
Suppes_Theorem                          1      0      0%
Swap_Distance                           1      0      0%
Symmetric_Polynomials                   1      0      0%
Transitive_Models                       1      0      0%
UPF                                     1      0      0%
Universal_Hash_Families                 1      0      0%
